length_mm,width_mm,height_mm,torque_nm,battery_type,seats
4871,1862,1500,340.0,Lithium-ion,5
4871,1862,1500,340.0,Lithium-ion,5
5005,1925,1470,700.0,Lithium-ion,5
4515,1890,1580,350.0,Lithium-ion,5
4515,1890,1580,605.0,Lithium-ion,5
4515,1890,1580,700.0,Lithium-ion,5
4715,1910,1630,700.0,Lithium-ion,5
4387,1790,1584,310.0,Lithium-ion,5
5209,2010,1731,750.0,Lithium-ion,5
5209,2010,1731,600.0,Lithium-ion,5
5209,2010,1731,750.0,Lithium-ion,5
3825,1610,1575,147.0,Lithium-ion,4
3825,1610,1575,147.0,Lithium-ion,4
4655,1890,1605,350.0,Lithium-ion,5
4655,1890,1605,605.0,Lithium-ion,5
4655,1890,1605,350.0,Lithium-ion,5
4715,1940,1585,740.0,Lithium-ion,5
4855,1880,1495,350.0,Lithium-ion,5
4855,1880,1495,605.0,Lithium-ion,5
4855,1880,1495,350.0,Lithium-ion,5
5060,1980,1790,605.0,Lithium-ion,7
5060,1980,1790,350.0,Lithium-ion,7
5060,1980,1790,700.0,Lithium-ion,7
4355,1825,1575,255.0,Lithium-ion,5
4355,1825,1575,255.0,Lithium-ion,5
4682,2011,1566,696.0,Lithium-ion,5
4084,1776,1528,260.0,Lithium-ion,5
4552,1928,1675,345.0,Lithium-ion,5
4715,1890,1725,339.0,Lithium-ion,5
4300,1850,1560,283.0,Lithium-ion,5
4300,1850,1560,283.0,Lithium-ion,5
4430,1860,1485,283.0,Lithium-ion,5
4430,1860,1485,283.0,Lithium-ion,5
4730,1860,1480,283.0,Lithium-ion,5
4730,1860,1480,283.0,Lithium-ion,5
4695,1890,1545,770.0,Lithium-ion,5
4695,1880,1575,350.0,Lithium-ion,5
4695,1880,1575,605.0,Lithium-ion,5
4695,1880,1575,350.0,Lithium-ion,5
5010,1980,1755,350.0,Lithium-ion,7
5010,1980,1755,600.0,Lithium-ion,7
5015,1980,1755,740.0,Lithium-ion,7
5015,1980,1780,700.0,Lithium-ion,7
5010,1980,1755,350.0,Lithium-ion,7
4420,1825,1570,255.0,Lithium-ion,5
4080,1760,1440,260.0,Lithium-ion,5
4739,1900,1680,320.0,Lithium-ion,5
3620,1652,1577,158.0,Lithium-ion,4
4690,1860,1600,266.0,Lithium-ion,5
4805,1895,1635,435.0,Lithium-ion,5
4495,1840,1545,300.0,Lithium-ion,5
5103,2019,1630,710.0,Lithium-ion,5
5103,2019,1636,985.0,Lithium-ion,5
5103,2019,1630,710.0,Lithium-ion,5
5139,2005,1464,710.0,Lithium-ion,5
5139,2005,1464,985.0,Lithium-ion,5
5139,2005,1464,710.0,Lithium-ion,5
4975,1939,1410,1200.0,Lithium-ion,5
4975,1939,1410,551.0,Lithium-ion,5
4975,1939,1410,1200.0,Lithium-ion,5
4460,1845,1573,343.0,Lithium-ion,5
4535,1913,1329,725.0,Lithium-ion,2
4535,1913,1329,475.0,Lithium-ion,2
4287,1836,1504,250.0,Lithium-ion,5
4287,1836,1504,250.0,Lithium-ion,5
4287,1836,1516,350.0,Lithium-ion,5
4287,1836,1516,600.0,Lithium-ion,5
4600,1818,1543,280.0,Lithium-ion,5
4600,1818,1543,280.0,Lithium-ion,5
4476,1849,1621,250.0,Lithium-ion,5
4476,1849,1621,350.0,Lithium-ion,5
4323,1809,1649,280.0,Lithium-ion,5
4323,1809,1649,280.0,Lithium-ion,5
4966,1957,1365,1350.0,Lithium-ion,4
4959,1957,1353,1350.0,Lithium-ion,4
4865,1948,1651,820.0,Lithium-ion,5
5270,2000,1840,350.0,Lithium-ion,7
4921,1890,1491,320.0,Lithium-ion,5
4921,1890,1491,320.0,Lithium-ion,5
4723,1855,1468,335.0,Lithium-ion,5
4723,1855,1468,515.0,Lithium-ion,5
4463,1834,1620,385.0,Lithium-ion,5
4463,1834,1620,385.0,Lithium-ion,5
4463,1834,1620,390.0,Lithium-ion,5
4463,1834,1620,520.0,Lithium-ion,5
4684,1834,1667,385.0,Lithium-ion,7
4684,1834,1667,390.0,Lithium-ion,7
4684,1834,1667,520.0,Lithium-ion,7
4946,1906,1503,550.0,Lithium-ion,5
4946,1906,1503,765.0,Lithium-ion,5
4946,1906,1510,565.0,Lithium-ion,5
4946,1906,1503,858.0,Lithium-ion,5
4964,1906,1495,858.0,Lithium-ion,5
4964,1906,1495,950.0,Lithium-ion,5
4863,1940,1685,550.0,Lithium-ion,5
4863,1940,1685,765.0,Lithium-ion,5
4863,1940,1685,565.0,Lithium-ion,5
4863,1940,1685,858.0,Lithium-ion,5
4879,1940,1672,858.0,Lithium-ion,5
4879,1940,1672,1000.0,Lithium-ion,5
5223,1926,1512,565.0,Lithium-ion,5
5223,1926,1518,800.0,Lithium-ion,5
5223,1926,1518,568.0,Lithium-ion,5
5223,1926,1518,828.0,Lithium-ion,5
5223,1926,1518,858.0,Lithium-ion,5
5223,1926,1518,1020.0,Lithium-ion,5
5125,1959,1718,800.0,Lithium-ion,7
5125,1959,1718,568.0,Lithium-ion,7
5125,1959,1718,828.0,Lithium-ion,7
5125,1959,1718,858.0,Lithium-ion,7
5125,1959,1725,950.0,Lithium-ion,4
4922,1859,1811,245.0,Lithium-ion,7
4498,1859,1819,245.0,Lithium-ion,5
5370,1928,1911,365.0,Lithium-ion,7
5140,1928,1910,365.0,Lithium-ion,7
5370,1928,1901,365.0,Lithium-ion,7
5140,1928,1901,365.0,Lithium-ion,7
4624,1931,1986,1164.0,Lithium-ion,5
5370,1928,1890,360.0,Lithium-ion,8
5140,1928,1890,360.0,Lithium-ion,8
5140,1928,1890,360.0,Lithium-ion,8
4079,1754,1514,290.0,Lithium-ion,5
4079,1754,1514,350.0,Lithium-ion,5
4079,1754,1514,330.0,Lithium-ion,5
3858,1756,1460,290.0,Lithium-ion,4
3858,1756,1460,350.0,Lithium-ion,4
3858,1756,1460,330.0,Lithium-ion,4
4433,1843,1656,250.0,Lithium-ion,5
4433,1843,1656,494.0,Lithium-ion,5
4854,1995,1703,700.0,Lithium-ion,5
4854,1995,1703,700.0,Lithium-ion,5
4912,1987,1720,850.0,Lithium-ion,5
4912,1987,1720,850.0,Lithium-ion,5
5099,1989,1750,850.0,Lithium-ion,6
5099,1989,1750,850.0,Lithium-ion,6
4790,1960,1499,700.0,Lithium-ion,5
4790,1960,1499,700.0,Lithium-ion,5
4790,1960,1499,700.0,Lithium-ion,5
4790,1960,1499,700.0,Lithium-ion,5
5101,1987,1509,850.0,Lithium-ion,5
5101,1987,1509,850.0,Lithium-ion,5
4595,1850,1660,300.0,Lithium-ion,5
4595,1850,1660,300.0,Lithium-ion,5
4595,1850,1660,600.0,Lithium-ion,5
4655,1850,1660,600.0,Lithium-ion,5
4488,1860,1838,245.0,Lithium-ion,5
4911,1860,1815,245.0,Lithium-ion,7
4424,1830,1588,340.0,Lithium-ion,5
4374,1860,1470,270.0,Lithium-ion,5
4642,1860,1480,270.0,Lithium-ion,5
4410,1921,1812,260.0,Lithium-ion,5
4760,1921,1818,260.0,Lithium-ion,7
4061,1765,1435,260.0,Lithium-ion,5
4061,1765,1435,260.0,Lithium-ion,5
